title,genre,overview,image
Parasite,Thriller Drama,"A poor family schemes to become employed by a wealthy household, leading to unexpected consequences.",https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDAtZmRhMC00ZmE5LWFmMDUtODI1MjU0N2QxN2Q2XkEyXkFqcGc@._V1_.jpg
Train to Busan,Action Horror,"Passengers struggle to survive during a zombie outbreak on a speeding train.",https://m.media-amazon.com/images/M/MV5BMjExOTQ0ODcxNV5BMl5BanBnXkFtZTgwOTk3OTczOTE@._V1_.jpg
Oldboy,Thriller Mystery,"After being imprisoned for years without explanation, a man seeks revenge against his captor.",https://m.media-amazon.com/images/M/MV5BMjA3NDQ5MzM0MF5BMl5BanBnXkFtZTcwMzg5OTQzMw@@._V1_.jpg
The Wailing,Horror Mystery,"A policeman investigates mysterious deaths and supernatural events in a remote village.",https://m.media-amazon.com/images/M/MV5BYjYxYjQ3NzYtMTViYi00Y2QzLTk4YTItYjM2YjQ4OWYxNjQzXkEyXkFqcGc@._V1_.jpg
Memories of Murder,Crime Drama,"Detectives investigate a series of brutal murders in rural South Korea.",https://m.media-amazon.com/images/M/MV5BYmRkYzA5YjMtN2I2YS00ODQ1LTk2YmQtOTk3Y2U0M2NlYmE4XkEyXkFqcGc@._V1_.jpg
The Handmaiden,Romance Thriller,"A conman and a pickpocket become entangled in a wealthy heiress's life.",https://m.media-amazon.com/images/M/MV5BN2Q0YTdlMjUtYjA5Mi00NzQ4LTgxY2UtZWY1YjE4ZDQ0N2E0XkEyXkFqcGc@._V1_.jpg
Burning,Drama Mystery,"A young man becomes suspicious after his friend disappears with a mysterious stranger.",https://m.media-amazon.com/images/M/MV5BZTZkNzY4NjMtNjE4Mi00MDM4LTg3YmMtM2I0YjFkYmQxYmE4XkEyXkFqcGc@._V1_.jpg
Decision to Leave,Romance Mystery,"A detective investigating a death becomes emotionally involved with the victim's wife.",https://m.media-amazon.com/images/M/MV5BZGYzMjUwYmUtN2E3YS00NDQzLWI0ZGYtYzQxMzc0Y2ZhNzFmXkEyXkFqcGc@._V1_.jpg
A Bittersweet Life,Action Crime,"A loyal enforcer turns against his crime boss after breaking an order.",https://m.media-amazon.com/images/M/MV5BYTU0ZjY4YjctYWU1MS00ODBhLTllODQtMjQ3MjQ2NzQ5ZjFiXkEyXkFqcGc@._V1_.jpg
The Chaser,Crime Thriller,"An ex-detective turned pimp hunts a serial killer targeting his workers.",https://m.media-amazon.com/images/M/MV5BYWYwN2E2NzEtMWRiZi00ODMwLWI5YjEtZjg0ZmQ2N2VkYjE5XkEyXkFqcGc@._V1_.jpg
