title,genre,overview,image
The Platform,Sci-Fi Thriller,"Prisoners housed in a vertical prison fight for survival as food descends floor by floor.",https://m.media-amazon.com/images/M/MV5BYTUzNjQ1YzUtNDBjMi00ZTU4LWExODQtNmJmNWE1NzU4MDU3XkEyXkFqcGc@._V1_.jpg
Pan's Labyrinth,Fantasy Drama,"A young girl escapes into a magical world during post-war Spain.",https://m.media-amazon.com/images/M/MV5BMTU3MjUxMTQ2Nl5BMl5BanBnXkFtZTcwOTkzODc1MQ@@._V1_.jpg
The Invisible Guest,Thriller Mystery,"A businessman accused of murder hires a lawyer to prepare his defense.",https://m.media-amazon.com/images/M/MV5BMTU2NzQwNDk2OV5BMl5BanBnXkFtZTgwNzQ1OTk2OTE@._V1_.jpg
Mirage,Sci-Fi Thriller,"A woman interferes with the past through a television connection during a storm.",https://m.media-amazon.com/images/M/MV5BMzY5NjI5NTEtYjZiNy00NmM3LWJhMzMtYzY0NTM3NjVmZDU3XkEyXkFqcGc@._V1_.jpg
Rec,Horror Thriller,"A television reporter and cameraman become trapped inside a building during a viral outbreak.",https://m.media-amazon.com/images/M/MV5BYzU0Njk5YzItYzA2Ny00NmI2LWIxOTAtNzQ1NWRjMjQxYmM0XkEyXkFqcGc@._V1_.jpg
The Orphanage,Horror Drama,"A woman returns to her childhood orphanage and discovers dark secrets.",https://m.media-amazon.com/images/M/MV5BMjA2NTAzODg3OV5BMl5BanBnXkFtZTcwODc0ODc1MQ@@._V1_.jpg
Cell 211,Action Crime,"A prison officer becomes trapped during a violent inmate uprising.",https://m.media-amazon.com/images/M/MV5BMjE5OTYzMjY4OV5BMl5BanBnXkFtZTcwOTYxNjA2Mw@@._V1_.jpg
Julia's Eyes,Thriller Horror,"A woman investigates her twin sister's mysterious death while losing her own sight.",https://m.media-amazon.com/images/M/MV5BMjA2MTE0MzQ2Nl5BMl5BanBnXkFtZTcwOTQzMzU0NA@@._V1_.jpg
While at War,Drama History,"Spanish philosopher Miguel de Unamuno faces political turmoil during the Spanish Civil War.",https://m.media-amazon.com/images/M/MV5BMjQzYjM0YjAtYjNmMi00ZDI0LTkxOTEtNjBhZmQ4NTgxN2Q4XkEyXkFqcGc@._V1_.jpg
Timecrimes,Sci-Fi Thriller,"A man accidentally travels through time and becomes trapped in a dangerous loop.",https://m.media-amazon.com/images/M/MV5BMTU3Mjg2OTc0M15BMl5BanBnXkFtZTcwMjQ4NzQ0MQ@@._V1_.jpg
